cycle,length(butterfly),nb_reproductions,nb_deaths_predation,nb_deaths_natural,nb_deaths_total,nb_black,nb_white,nb_gray,nb_BB,nb_WW,nb_BW,nb_allele_B,nb_allele_W
96,600,9,0,9,9,215,106,270,220,106,274,714,486
97,600,7,0,7,7,216,105,272,221,105,274,716,484
98,599,4,0,5,5,218,104,273,220,105,274,714,484
99,600,5,0,4,4,219,104,272,222,105,273,717,483
100,599,9,1,9,10,220,101,269,224,101,274,722,476
101,600,10,0,9,9,221,97,272,224,99,277,725,475
102,599,9,1,9,10,221,99,270,226,100,273,725,473
103,599,4,1,3,4,224,100,271,227,100,272,726,472
104,598,6,0,7,7,223,99,270,226,99,273,725,471
105,600,9,0,7,7,224,99,268,227,100,273,727,473
106,599,2,0,3,3,226,100,271,226,100,273,725,473
107,600,8,0,7,7,221,100,271,223,101,276,722,478
108,600,9,0,9,9,219,101,271,223,103,274,720,480
109,600,3,0,3,3,222,102,273,223,102,275,721,479
110,600,5,0,5,5,221,101,273,225,102,273,723,477
111,600,5,0,5,5,222,101,272,224,103,273,721,479
112,599,3,1,3,4,222,103,271,222,103,274,718,480
113,600,6,0,5,5,222,102,270,224,103,273,721,479
114,600,4,0,4,4,222,102,272,223,102,275,721,479
115,599,6,1,6,7,219,101,273,220,101,278,718,480
116,600,8,0,7,7,219,100,273,223,100,277,723,477
117,599,9,1,9,10,221,96,273,224,97,278,726,472
118,600,7,0,6,6,222,94,277,226,96,278,730,470
119,599,2,0,3,3,226,95,276,226,95,278,730,468
120,600,10,0,9,9,222,94,274,226,96,278,730,470
121,600,9,0,9,9,223,94,274,227,94,279,733,467
122,600,4,0,4,4,226,93,277,227,93,280,734,466
123,599,5,0,6,6,223,93,278,225,93,281,731,467
124,599,10,1,9,10,221,91,277,225,91,283,733,465
125,600,6,0,5,5,224,90,280,227,90,283,737,463
126,600,5,0,5,5,226,90,279,228,91,281,737,463
127,598,7,1,8,9,225,90,276,228,91,279,735,461
128,600,8,0,6,6,227,90,275,229,92,279,737,463
129,599,9,1,9,10,226,89,275,228,91,280,736,462
130,600,11,0,10,10,225,90,274,230,91,279,739,461
131,600,3,0,3,3,228,90,279,231,90,279,741,459
132,600,6,0,6,6,229,90,275,232,92,276,740,460
133,600,3,0,3,3,231,92,274,231,92,277,739,461
134,600,6,0,6,6,229,90,275,232,90,278,742,458
135,600,7,0,7,7,230,89,274,234,89,277,745,455
136,600,6,0,6,6,231,87,276,231,91,278,740,460
137,599,4,0,5,5,229,91,275,231,91,277,739,459
138,600,12,0,11,11,229,89,270,233,91,276,742,458
139,600,6,0,6,6,230,90,274,231,92,277,739,461
140,600,5,0,5,5,229,92,274,230,93,277,737,463
141,599,3,1,3,4,230,92,274,230,93,276,736,462
142,600,8,0,7,7,227,92,273,228,93,279,735,465
143,600,10,0,10,10,223,90,277,231,90,279,741,459
144,600,6,0,6,6,228,89,277,231,89,280,742,458
145,599,9,1,9,10,231,86,273,236,87,276,748,450
146,600,8,0,7,7,230,87,275,235,89,276,746,454
147,600,3,0,3,3,235,89,273,237,90,273,747,453
148,600,9,0,9,9,234,89,268,236,91,273,745,455
149,600,7,0,7,7,233,90,270,236,92,272,744,456
150,599,8,1,8,9,233,90,268,236,90,273,745,453
151,599,3,1,2,3,235,89,272,236,89,274,746,452
152,600,3,0,2,2,236,89,272,238,89,273,749,451
153,600,1,0,1,1,238,89,272,238,89,273,749,451
154,600,8,0,8,8,235,88,269,238,90,272,748,452
155,599,7,1,7,8,236,90,266,239,90,270,748,450
156,599,7,1,6,7,236,88,268,238,88,273,749,449
157,600,9,0,8,8,233,88,270,235,91,274,744,456
158,600,9,0,9,9,230,90,271,232,91,277,741,459
159,598,3,1,4,5,230,89,276,230,89,279,739,457
160,599,11,0,10,10,227,87,274,234,90,275,743,455
161,600,5,0,4,4,232,90,273,234,90,276,744,456
162,600,4,0,4,4,233,90,273,234,91,275,743,457
163,598,2,2,2,4,233,91,272,233,91,274,740,456
164,600,9,0,7,7,230,90,271,234,92,274,742,458
165,599,5,1,5,6,232,92,270,233,94,272,738,460
166,600,5,0,4,4,231,94,270,233,95,272,738,462
167,600,4,0,4,4,230,95,271,232,96,272,736,464
168,599,10,0,11,11,230,95,264,234,96,269,737,461
169,599,10,1,9,10,231,93,265,235,97,267,737,461
170,599,15,1,14,15,230,94,260,235,96,268,738,460
171,600,4,0,3,3,234,96,266,236,97,267,739,461
172,600,2,0,2,2,236,96,266,237,96,267,741,459
173,600,6,0,6,6,233,96,265,235,97,268,738,462
174,600,4,0,4,4,233,97,266,233,97,270,736,464
175,599,1,1,1,2,232,97,269,233,97,269,735,463
176,600,6,0,5,5,230,97,267,231,97,272,734,466
177,600,4,0,4,4,230,97,269,233,97,270,736,464
178,600,7,0,7,7,232,96,265,235,98,267,737,463
179,600,6,0,6,6,234,97,263,237,99,264,738,462
180,600,7,0,7,7,236,98,259,240,99,261,741,459
181,600,5,0,5,5,238,98,259,241,99,260,742,458
182,600,5,0,5,5,238,98,259,241,99,260,742,458
183,600,9,0,9,9,237,97,257,240,98,262,742,458
184,600,7,0,7,7,238,98,257,239,100,261,739,461
185,600,4,0,4,4,237,98,261,237,100,263,737,463
186,600,6,0,6,6,235,99,260,237,101,262,736,464
187,599,5,1,5,6,235,100,259,236,101,262,734,464
